location,energy_class,condition,renovation_year,building_year,type,address,rooms,surface_area,count,rent,rating,Internet: Trinet,Remontoitu tai uusi,Hissi,Vesimaksu kulutuksen mukaan,Internet: DNA,Pesutupa,Kerhotila,Internet: Telia,Sauna
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,11.9,"3
                                   ",294,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,12.6,"1
                                   ",282,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,12.6,"2
                                   ",300,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,13.3,"3
                                   ",297,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,13.3,"1
                                   ",327,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,15.7,"1
                                   ",323,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,15.7,"2
                                   ",344,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,15.9,"1
                                   ",324,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,15.9,"5
                                   ",345,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,16.2,"3
                                   ",336,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,16.2,"3
                                   ",352,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,17.7,"3
                                   ",358,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Soluhuone,Lohkopellontie 1,1h,17.7,"1
                                   ",389,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Kaksio,Lohkopellontie 1,1h+oh+kk,48,"6
                                   ",709,2,0,0,0,0,1,1,1,0,1
"Oulunkylä, Helsinki",G,no condition,2004,1976,Kaksio,Lohkopellontie 1,2h+kk,50,"8
                                   ",713,2,0,0,0,0,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,40.5,"1
                                   ",946,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,40.5,"1
                                   ",957,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,40.5,"1
                                   ",968,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,40.5,"1
                                   ",979,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,41,"1
                                   ",958,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+k,42,"1
                                   ",1001,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+k,43,"1
                                   ",1007,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,47,"2
                                   ",1069,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,47,"2
                                   ",1081,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,47,"1
                                   ",1086,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,47,"3
                                   ",1091,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,47.5,"1
                                   ",1047,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,47.5,"1
                                   ",1062,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,47.5,"1
                                   ",1069,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,47.5,"2
                                   ",1075,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,47.5,"2
                                   ",1086,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,47.5,"1
                                   ",1096,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+k,48,"2
                                   ",1075,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+k,48,"2
                                   ",1086,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+k,48,"2
                                   ",1096,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+k,48,"1
                                   ",1109,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,48,"1
                                   ",1047,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,48,"5
                                   ",1062,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,48,"5
                                   ",1075,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kaksio,Katajanokanranta 21,1h+oh+kt,48,"5
                                   ",1086,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kolmio,Katajanokanranta 21,2h+oh+kt,60,"2
                                   ",1256,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kolmio,Katajanokanranta 21,2h+oh+kt,62.5,"1
                                   ",1280,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",D,no condition,2021,1982,Kolmio,Katajanokanranta 21,2h+oh+kt,63,"1
                                   ",1283,4,0,1,1,1,1,1,1,0,1
"Katajanokka, Helsinki",F,no condition,2000,1840,Kaksio,Linnankuja 2,1h+tpk,31,"1
                                   ",631,no rating,0,0,0,0,1,0,0,0,0
"Katajanokka, Helsinki",F,no condition,2000,1840,Kaksio,Linnankuja 2,1h+oh+kk,45,"1
                                   ",805,no rating,0,0,0,0,1,0,0,0,0
"Katajanokka, Helsinki",F,no condition,2000,1840,Kaksio,Linnankuja 2,1h+oh+k,55.5,"1
                                   ",938,no rating,0,0,0,0,1,0,0,0,0
"Katajanokka, Helsinki",F,no condition,2000,1840,Kaksio,Linnankuja 2,1h+oh+k,64,"1
                                   ",1040,no rating,0,0,0,0,1,0,0,0,0
"Katajanokka, Helsinki",F,no condition,2000,1840,Yksiö,Linnankuja 2,1h+kk,32.5,"1
                                   ",666,no rating,0,0,0,0,1,0,0,0,0
"Katajanokka, Helsinki",F,no condition,2000,1840,Yksiö,Linnankuja 2,1h+kk,36,"1
                                   ",722,no rating,0,0,0,0,1,0,0,0,0
