location,energy_class,condition,renovation_year,building_year,type,address,rooms,surface_area,count,rent,rating,Internet: Trinet,Remontoitu tai uusi,Hissi,Vesimaksu kulutuksen mukaan,Internet: DNA,Pesutupa,Kerhotila,Internet: Telia,Sauna,rent_per_m2,timestamp,latitude,longitude
"Otaniemi-Teekkarikylä, Espoo",E,no condition,-,2002,Soluhuone,Servinkuja 5,1h,17.5,38,401,no rating,0,0,1,0,1,1,1,0,1,22.91,2026-08-21,60.191144,24.8333883
"Otaniemi-Teekkarikylä, Espoo",E,no condition,-,2002,Yksiö,Servinkuja 5,1h+kt,28.5,24,581,no rating,0,0,1,0,1,1,1,0,1,20.39,2026-08-21,60.191144,24.8333883
"Otaniemi-Teekkarikylä, Espoo",E,no condition,-,2002,Yksiö,Servinkuja 5,1h+kk,35.5,16,628,no rating,0,0,1,0,1,1,1,0,1,17.69,2026-08-21,60.191144,24.8333883
"Otaniemi-Teekkarikylä, Espoo",E,no condition,-,2002,Yksiö,Servinkuja 5,1h+kk,37.5,4,641,no rating,0,0,1,0,1,1,1,0,1,17.09,2026-08-21,60.191144,24.8333883
"Otaniemi-Teekkarikylä, Espoo",E,no condition,-,2002,Yksiö,Servinkuja 5,1h+kk,37.5,12,657,no rating,0,0,1,0,1,1,1,0,1,17.52,2026-08-21,60.191144,24.8333883
"Otaniemi-Teekkarikylä, Espoo",E,no condition,-,2002,Kaksio,Servinkuja 5,2h+kk,51.0,1,799,no rating,0,0,1,0,1,1,1,0,1,15.67,2026-08-21,60.191144,24.8333883
"Rastila, Helsinki",D,no condition,-,2020,Yksiö,Retkeilijänkatu 11,1h+kt,16.5,8,534,3,0,0,1,0,1,1,1,0,1,32.36,2026-08-21,60.2051302,25.1250562
"Rastila, Helsinki",D,no condition,-,2020,Yksiö,Retkeilijänkatu 11,1h+kt,17.0,4,534,3,0,0,1,0,1,1,1,0,1,31.41,2026-08-21,60.2051302,25.1250562
"Rastila, Helsinki",D,no condition,-,2020,Yksiö,Retkeilijänkatu 11,1h+kt,17.0,59,545,3,0,0,1,0,1,1,1,0,1,32.06,2026-08-21,60.2051302,25.1250562
"Rastila, Helsinki",D,no condition,-,2020,Yksiö,Retkeilijänkatu 11,1h+kt,17.5,6,558,3,0,0,1,0,1,1,1,0,1,31.89,2026-08-21,60.2051302,25.1250562
"Rastila, Helsinki",D,no condition,-,2020,Yksiö,Retkeilijänkatu 11,1h+kt,19.0,3,573,3,0,0,1,0,1,1,1,0,1,30.16,2026-08-21,60.2051302,25.1250562
"Rastila, Helsinki",D,no condition,-,2020,Yksiö,Retkeilijänkatu 11,1h+kt,25.0,1,624,3,0,0,1,0,1,1,1,0,1,24.96,2026-08-21,60.2051302,25.1250562
"Rastila, Helsinki",D,no condition,-,2020,Yksiö,Retkeilijänkatu 11,1h+kt,25.0,3,647,3,0,0,1,0,1,1,1,0,1,25.88,2026-08-21,60.2051302,25.1250562
"Rastila, Helsinki",D,no condition,-,2020,Yksiö,Retkeilijänkatu 11,1h+kt,27.0,4,647,3,0,0,1,0,1,1,1,0,1,23.96,2026-08-21,60.2051302,25.1250562
