location,avg_rent,avg_area,avg_age,avg_years_since_reno,avg_distance_to_helsinki
"Koskela-Kumpula, Helsinki",579.2875621890547,26.756716417910447,26.83084577114428,15.462686567164178,4.37251616780395
"Otaniemi-Teekkarikylä, Espoo",480.13007284079083,22.930072840790842,39.647242455775235,9.45057232049948,6.107876604351969
"Viikki, Helsinki",650.272514619883,36.916023391812864,25.76374269005848,20.341520467836258,7.882604940891282
"Jokiniemi-Tikkurila, Vantaa",595.9074550128535,39.51683804627249,37.72107969151671,11.398457583547557,15.39247917239208
"Leppävaara-Vermonniitty, Espoo",584.980421686747,36.27289156626506,32.43674698795181,22.246987951807228,8.980546971201527
"Pasila, Helsinki",621.7134238310709,24.857767722473607,21.636500754147814,7.248868778280543,3.1726142513491213
"Niittykumpu-Tapiola, Espoo",679.636923076923,27.481538461538463,1.596923076923077,1.596923076923077,8.518971789379561
"Jätkäsaari-Ruoholahti, Helsinki",669.4,26.66719298245614,14.194736842105263,14.194736842105263,2.0756091049316385
"Malminkartano, Helsinki",576.7463235294117,38.84323529411765,47.125,13.165441176470589,9.242361874204363
"Espoon keskus-Suvela, Espoo",592.5595463137996,37.63497164461248,30.19092627599244,8.512287334593573,15.943401055728641
"Kalasatama, Helsinki",714.1970338983051,27.70762711864407,7.038135593220339,7.038135593220339,2.8566740311498187
"Kannelmäki, Helsinki",412.59183673469386,21.79206349206349,49.26077097505669,8.08843537414966,8.184231528710477
"Kontula-Kurkimäki, Helsinki",640.7425742574258,46.874504950495044,34.801980198019805,13.638613861386139,10.524920393796647
"Malmi-Pukinmäki, Helsinki",530.279792746114,31.621761658031087,37.19170984455958,15.67098445595855,8.966379092860539
"Koivukylä, Vantaa",540.7154471544716,52.49132791327913,49.41463414634146,24.26558265582656,18.153193972895725
"Suutarila, Helsinki",593.9256198347107,43.13278236914601,42.99173553719008,16.545454545454547,10.998550546799194
"Matinkylä, Espoo",605.8248587570622,35.47316384180791,18.951977401129945,18.951977401129945,10.699861998353255
"Myyrmäki, Vantaa",604.1931818181819,30.301420454545454,15.926136363636363,12.309659090909092,11.180531893555939
"Kilo, Espoo",509.8959537572254,38.653352601156065,46.309248554913296,26.6878612716763,10.499566618449565
"Arabia-Toukola, Helsinki",672.1121495327103,32.83644859813084,19.339563862928348,19.339563862928348,4.073366196761598
"Rastila, Helsinki",604.8407643312102,35.24044585987261,26.03503184713376,9.136942675159236,10.63554556601768
"Haaga, Helsinki",528.3333333333334,29.895833333333332,51.80769230769231,11.5,6.336590607637272
"Myllypuro, Helsinki",644.4121863799284,26.93010752688172,3.4731182795698925,3.4731182795698925,9.123457602776476
"Kamppi, Helsinki",759.9720930232559,32.02325581395349,26.0,26.0,1.0144117069757965
"Vallila, Helsinki",612.3965517241379,34.02298850574713,39.0,17.0,3.0373352791058577
"Merihaka, Helsinki",540.2209302325581,26.978488372093025,43.0,22.0,1.2364304626143623
"Kruunuvuorenranta-Laajasalo, Helsinki",609.9470588235295,26.108823529411765,6.823529411764706,6.823529411764706,4.656193994565307
"Hermanni-Sörnäinen, Helsinki",691.2156862745098,32.96013071895425,12.0,12.0,3.202467599749038
"Tali, Helsinki",524.4621212121212,31.047727272727276,33.0,33.0,6.17255085452238
"Herttoniemi, Helsinki",671.6461538461539,28.526923076923076,6.0,6.0,6.7236860369660825
"Itäkeskus, Helsinki",444.53333333333336,25.445833333333333,49.0,9.0,8.627472755734207
"Hakuninmaa, Helsinki",774.0480769230769,53.90865384615385,38.53846153846154,14.26923076923077,9.409482237932712
"Pitäjänmäki, Helsinki",707.6990291262136,46.2883495145631,30.57281553398058,30.57281553398058,6.922644201081888
"Kauniainen, Kauniainen",600.0297029702971,36.56435643564357,34.0,11.0,11.932956882806952
"Ruskeasuo, Helsinki",857.2929292929293,47.601010101010104,32.54545454545455,9.363636363636363,4.142477333769627
"Kivenlahti, Espoo",405.09473684210525,27.382105263157897,52.0,13.0,16.566090145581718
"Ruskeasanta, Vantaa",631.8313253012049,48.19277108433735,36.0,9.0,17.14279762377684
"Mellunmäki, Helsinki",527.9571428571429,32.94285714285714,37.0,15.0,11.953245827697721
"Heikinlaakso, Helsinki",762.2352941176471,56.64705882352941,39.0,18.0,13.329186419021257
