address,location,latitude,longitude
Lohkopellontie 1,"Oulunkylä, Helsinki",60.2243108,24.9662402
Katajanokanranta 21,"Katajanokka, Helsinki",60.168522,24.975748
Linnankuja 2,"Katajanokka, Helsinki",60.1660348,24.9701626
Timpurinkuja 1,"Leppävaara-Vermonniitty, Espoo",60.222858,24.8141512
Anna Sahlsténin katu 4,"Leppävaara-Vermonniitty, Espoo",60.2125211,24.8276346
Kyyhkysmäki 2,"Leppävaara-Vermonniitty, Espoo",60.2282551,24.8133144
Kyyhkysmäki 3,"Leppävaara-Vermonniitty, Espoo",60.2290559,24.8119111
Alberganesplanadi 2,"Leppävaara-Vermonniitty, Espoo",60.2168416,24.8125133
Metsälinnunreitti 2,"Leppävaara-Vermonniitty, Espoo",60.236934,24.8202948
Majurinkulma 2,"Leppävaara-Vermonniitty, Espoo",60.2111915,24.8245926
Juusintie 5,"Kauniainen, Kauniainen",60.2186864,24.7478352
Muusantori 5,"Tali, Helsinki",60.2069561,24.8551668
Yläkiventie 7,"Myllypuro, Helsinki",60.2223511,25.0724982
Yläkiventie 9,"Myllypuro, Helsinki",60.2219832,25.0705005
Myllymatkantie 7,"Myllypuro, Helsinki",60.224979,25.0627468
Yläkiventie 4,"Myllypuro, Helsinki",60.2223764,25.0737181
Tukkitie 18,"Heikinlaakso, Helsinki",60.2719765,25.0732958
Intiankatu 20 - 21,"Koskela-Kumpula, Helsinki",60.2091491,24.9649351
Väinö Auerin Katu 13,"Koskela-Kumpula, Helsinki",60.2052265,24.9609966
Pietari Kalmin katu 1,"Koskela-Kumpula, Helsinki",60.2057148,24.9664383
Juhana-herttuan tie 3,"Koskela-Kumpula, Helsinki",60.2175431,24.9702178
Väinö Auerin Katu 1,"Koskela-Kumpula, Helsinki",60.2091807,24.9666496
Siamintie 3,"Koskela-Kumpula, Helsinki",60.2099774,24.9717494
Atlantinkatu 5,"Jätkäsaari-Ruoholahti, Helsinki",60.1561702,24.9096609
Itämerenkatu 12,"Jätkäsaari-Ruoholahti, Helsinki",60.1633118,24.9165452
Santakuja 3,"Jätkäsaari-Ruoholahti, Helsinki",60.1623294,24.9169965
Välimerenkatu 5,"Jätkäsaari-Ruoholahti, Helsinki",60.1602438,24.9189477
Hyväntoivonkatu 6,"Jätkäsaari-Ruoholahti, Helsinki",60.1558366,24.9162989
Talonpojantie 10,"Viikki, Helsinki",60.2287262,25.0256734
