location,energy_class,condition,renovation_year,building_year,type,address,rooms,surface_area,count,rent,rating,Internet: Trinet,Internet: DNA,Remontoitu tai uusi,Sauna,Vesimaksu kulutuksen mukaan,Pesutupa,Kerhotila,Hissi,Internet: Telia
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Soluhuone,Intiankatu 20 - 21,1h,14,"1
                                   ",411,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Soluhuone,Intiankatu 20 - 21,1h,14,"1
                                   ",461,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Soluhuone,Intiankatu 20 - 21,1h,14.5,"2
                                   ",411,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Soluhuone,Intiankatu 20 - 21,1h,14.5,"1
                                   ",468,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Soluhuone,Intiankatu 20 - 21,1h,16.5,"3
                                   ",460,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Soluhuone,Intiankatu 20 - 21,1h,16.5,"1
                                   ",508,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Soluhuone,Intiankatu 20 - 21,1h,16.5,"1
                                   ",509,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Yksiö,Intiankatu 20 - 21,1h+kt,28,"4
                                   ",593,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Yksiö,Intiankatu 20 - 21,1h+kt,28.5,"9
                                   ",601,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Yksiö,Intiankatu 20 - 21,1h+kt,28.5,"3
                                   ",612,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Yksiö,Intiankatu 20 - 21,1h+kt,29.5,"2
                                   ",612,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Yksiö,Intiankatu 20 - 21,1h+kt,30,"107
                                   ",620,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Yksiö,Intiankatu 20 - 21,1h+kt,32.5,"2
                                   ",649,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Yksiö,Intiankatu 20 - 21,1h+kt,33,"4
                                   ",654,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Kaksio,Intiankatu 20 - 21,1h+tpk,44,"6
                                   ",826,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Kaksio,Intiankatu 20 - 21,1h+tpk,46,"6
                                   ",850,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Kaksio,Intiankatu 20 - 21,1h+tpk,46.5,"2
                                   ",858,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Kaksio,Intiankatu 20 - 21,2h+kk,46.5,"1
                                   ",858,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Kaksio,Intiankatu 20 - 21,2h+kt,46.5,"1
                                   ",858,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Kaksio,Intiankatu 20 - 21,2h+k,71.5,"1
                                   ",1089,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Kaksio,Intiankatu 20 - 21,2h+k,91.5,"1
                                   ",1186,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",D,no condition,-,2007,Kolmio,Intiankatu 20 - 21,3h+kt,71.5,"1
                                   ",1089,5,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",C,no condition,-,2018,Soluhuone,Pietari Kalmin katu 1,1h,13,"78
                                   ",465,4,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",C,no condition,-,2018,Soluhuone,Pietari Kalmin katu 1,1h,15,"14
                                   ",441,4,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",C,no condition,-,2018,Soluhuone,Pietari Kalmin katu 1,1h,15.5,"7
                                   ",449,4,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",C,no condition,-,2018,Yksiö,Pietari Kalmin katu 1,1h+kt,27,"7
                                   ",677,4,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",C,no condition,-,2018,Yksiö,Pietari Kalmin katu 1,1h+kt,27.5,"18
                                   ",688,4,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",C,no condition,-,2018,Yksiö,Pietari Kalmin katu 1,1h+kt,28,"4
                                   ",697,4,0,1,0,1,0,1,1,1,0
"Koskela-Kumpula, Helsinki",C,no condition,-,2018,Yksiö,Pietari Kalmin katu 1,1h+kt,28,"86
                                   ",700,4,0,1,0,1,0,1,1,1,0
